HOUR,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,YEAR,MONTH,DAY_OF_WEEK,UCR_PART,STREET,Lat,Long,Location,DATE,TIME
0,3073,3073,3073,3073,3024,3073,3073,3073,3073,3072,3015,2889,2889,3073,3073,3073
1,1858,1858,1858,1858,1839,1858,1858,1858,1858,1857,1825,1707,1707,1858,1858,1858
2,1579,1579,1579,1579,1561,1579,1579,1579,1579,1577,1538,1428,1428,1579,1579,1579
3,896,896,896,896,889,896,896,896,896,896,883,838,838,896,896,896
4,710,710,710,710,707,710,710,710,710,709,701,663,663,710,710,710
5,694,694,694,694,687,694,694,694,694,692,676,642,642,694,694,694
6,1084,1084,1084,1084,1078,1084,1084,1084,1084,1084,1071,1003,1003,1084,1084,1084
7,1845,1845,1845,1845,1831,1845,1845,1845,1845,1845,1820,1744,1744,1845,1845,1845
8,2693,2693,2693,2693,2672,2693,2693,2693,2693,2691,2642,2521,2521,2693,2693,2693
9,3029,3029,3029,3029,3009,3029,3029,3029,3029,3029,2982,2888,2888,3029,3029,3029
10,3467,3467,3467,3467,3448,3467,3467,3467,3467,3467,3422,3291,3291,3467,3467,3467
11,3541,3541,3541,3541,3503,3541,3541,3541,3541,3541,3484,3351,3351,3541,3541,3541
12,3878,3878,3878,3878,3844,3878,3878,3878,3878,3878,3816,3661,3661,3878,3878,3878
13,3595,3595,3595,3595,3566,3595,3595,3595,3595,3594,3538,3380,3380,3595,3595,3595
14,3651,3651,3651,3651,3614,3651,3651,3651,3651,3650,3576,3415,3415,3651,3651,3651
15,3348,3348,3348,3348,3320,3348,3348,3348,3348,3347,3286,3147,3147,3348,3348,3348
16,3975,3975,3975,3975,3946,3975,3975,3975,3975,3972,3903,3714,3714,3975,3975,3975
17,4085,4085,4085,4085,4055,4085,4085,4085,4085,4085,4006,3750,3750,4085,4085,4085
18,4164,4164,4164,4164,4129,4164,4164,4164,4164,4164,4083,3847,3847,4164,4164,4164
19,3517,3517,3517,3517,3492,3517,3517,3517,3517,3517,3457,3269,3269,3517,3517,3517
20,3317,3317,3317,3317,3294,3317,3317,3317,3317,3317,3270,3134,3134,3317,3317,3317
21,2932,2932,2932,2932,2914,2932,2932,2932,2932,2932,2888,2748,2748,2932,2932,2932
22,2591,2591,2591,2591,2573,2591,2591,2591,2591,2590,2534,2408,2408,2591,2591,2591
23,2163,2163,2163,2163,2146,2163,2163,2163,2163,2163,2126,2026,2026,2163,2163,2163
